Sample in Buffer,Sample in Window,TRIGGER,O_Mipi_CSI_Byte_Lane0_Data[7:0],O_Mipi_CSI_Byte_Lane1_Data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
1302,1302,0,40,30
1303,1303,0,00,c0
1304,1304,0,01,00
1305,1305,0,04,03
1306,1306,0,14,04
1307,1307,0,50,10
1308,1308,0,40,40
1309,1309,0,01,00
1310,1310,0,05,01
1311,1311,0,14,04
1312,1312,0,50,10
1313,1313,0,40,40
1314,1314,0,01,00
1315,1315,0,05,01
1316,1316,0,14,04
1317,1317,0,00,00
1318,1318,0,38,01
1319,1319,0,e0,04
1320,1320,0,80,10
1321,1321,0,03,40
1322,1322,0,0e,00
1323,1323,0,38,01
1324,1324,0,e0,04
1325,1325,0,80,10
1326,1326,0,03,40
1327,1327,0,0e,00
1328,1328,0,38,01
1329,1329,0,00,00
1330,1330,0,00,00
1331,1331,0,00,00
1332,1332,0,00,00
1333,1333,0,00,00
1334,1334,0,00,00
1335,1335,0,00,00
1336,1336,0,00,00
1337,1337,0,00,00
1338,1338,0,00,00
1339,1339,0,00,00
1340,1340,0,00,00
1341,1341,0,00,88
1342,1342,0,00,20
1343,1343,0,00,82
1344,1344,0,00,08
1345,1345,0,00,22
1346,1346,0,00,88
1347,1347,0,00,20
1348,1348,0,00,82
1349,1349,0,00,08
1350,1350,0,00,22
1351,1351,0,00,88
1352,1352,0,50,10
1353,1353,0,60,40
1354,1354,0,81,00
1355,1355,0,05,01
1356,1356,0,16,04
1357,1357,0,58,10
1358,1358,0,60,40
1359,1359,0,81,00
1360,1360,0,05,01
1361,1361,0,16,04
1362,1362,0,58,10
1363,1363,0,20,00
1364,1364,0,e0,14
1365,1365,0,80,50
1366,1366,0,03,40
1367,1367,0,0e,01
1368,1368,0,38,05
1369,1369,0,e0,14
1370,1370,0,80,50
1371,1371,0,03,40
1372,1372,0,0e,01
1373,1373,0,38,05
1374,1374,0,e0,14
1375,1375,0,80,50
1376,1376,0,0b,10
1377,1377,0,21,40
1378,1378,0,84,00
1379,1379,0,10,01
1380,1380,0,42,04
1381,1381,0,08,10
1382,1382,0,21,40
1383,1383,0,84,00
1384,1384,0,10,01
1385,1385,0,42,04
1386,1386,0,08,10
1387,1387,0,c1,e0
1388,1388,0,00,86
1389,1389,0,03,1b
1390,1390,0,0c,6e
1391,1391,0,30,b8
1392,1392,0,c0,e1
1393,1393,0,00,86
1394,1394,0,03,1b
1395,1395,0,0c,6e
1396,1396,0,30,b8
1397,1397,0,c0,e1
1398,1398,0,40,46
1399,1399,0,41,00
1400,1400,0,05,01
1401,1401,0,15,04
1402,1402,0,54,10
1403,1403,0,50,40
1404,1404,0,41,00
1405,1405,0,05,01
1406,1406,0,15,04
1407,1407,0,54,10
1408,1408,0,50,40
1409,1409,0,41,00
1410,1410,0,05,01
1411,1411,0,05,41
1412,1412,0,1e,05
1413,1413,0,78,15
1414,1414,0,e0,54
1415,1415,0,81,50
1416,1416,0,07,41
1417,1417,0,1e,05
1418,1418,0,78,15
1419,1419,0,e0,54
