Sample in Buffer,Sample in Window,TRIGGER,lane0_byte_data[7:0],lane1_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
624,624,0,b3,d3
625,625,0,53,06
626,626,0,c4,c4
627,627,0,b3,e3
628,628,0,2f,33
629,629,0,34,c4
630,630,0,f4,0c
631,631,0,c3,44
632,632,0,63,04
633,633,0,f0,f4
634,634,0,f3,a3
635,635,0,f3,16
636,636,0,b3,d4
637,637,0,23,f3
638,638,0,e5,03
639,639,0,13,a4
640,640,0,74,35
641,641,0,73,04
642,642,0,94,24
643,643,0,1d,b4
644,644,0,b4,53
645,645,0,13,d6
646,646,0,34,a3
647,647,0,74,e3
648,648,0,5d,03
649,649,0,24,74
650,650,0,a4,c9
651,651,0,03,d3
652,652,0,94,03
653,653,0,1e,f4
654,654,0,d4,a3
655,655,0,93,0a
656,656,0,23,14
657,657,0,14,64
658,658,0,b1,c3
659,659,0,63,73
660,660,0,83,bb
661,661,0,23,83
662,662,0,83,03
663,663,0,ba,84
664,664,0,53,53
665,665,0,53,97
666,666,0,a3,b3
667,667,0,33,63
668,668,0,70,23
669,669,0,53,33
670,670,0,13,05
671,671,0,13,43
672,672,0,53,f3
673,673,0,28,02
674,674,0,23,e3
675,675,0,f3,5a
676,676,0,82,f3
677,677,0,02,a2
678,678,0,f4,62
679,679,0,12,b2
680,680,0,93,c3
681,681,0,d2,e2
682,682,0,a2,d2
683,683,0,de,62
684,684,0,e2,a2
685,685,0,72,c7
686,686,0,62,d2
687,687,0,52,52
688,688,0,92,52
689,689,0,a2,d2
690,690,0,72,c7
691,691,0,62,a2
692,692,0,e2,32
693,693,0,66,02
694,694,0,52,b2
695,695,0,02,7e
696,696,0,32,62
697,697,0,e2,72
698,698,0,65,e2
699,699,0,42,51
700,700,0,02,32
701,701,0,b2,22
702,702,0,a1,d2
703,703,0,1e,b1
704,704,0,22,41
705,705,0,82,58
706,706,0,81,02
707,707,0,11,c2
708,708,0,00,d1
709,709,0,e2,11
710,710,0,61,db
711,711,0,31,d1
712,712,0,41,31
713,713,0,ef,41
714,714,0,01,91
715,715,0,72,e2
716,716,0,41,b1
717,717,0,d1,41
718,718,0,f4,61
719,719,0,01,81
720,720,0,42,d4
721,721,0,11,a1
722,722,0,71,61
723,723,0,c5,41
724,724,0,c1,61
725,725,0,01,a4
726,726,0,31,91
727,727,0,21,31
728,728,0,ad,21
729,729,0,91,d1
730,730,0,41,d8
731,731,0,f1,b1
732,732,0,70,01
733,733,0,9f,f1
734,734,0,d1,e0
735,735,0,21,b0
736,736,0,31,81
737,737,0,41,c1
738,738,0,a1,d0
739,739,0,b1,60
740,740,0,e1,a8
741,741,0,20,d1
742,742,0,11,31
743,743,0,d2,41
744,744,0,b1,91
745,745,0,61,94
746,746,0,21,c1
747,747,0,71,31
748,748,0,bb,31
749,749,0,b1,f1
750,750,0,31,e7
751,751,0,81,d1
752,752,0,91,a1
